"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2000",1.311113,
"AUS","PPP","TOT","NATUSD","A","2001",1.328591,
"AUS","PPP","TOT","NATUSD","A","2002",1.33649,
"AUS","PPP","TOT","NATUSD","A","2003",1.355785,
"AUS","PPP","TOT","NATUSD","A","2004",1.365561,
"AUS","PPP","TOT","NATUSD","A","2005",1.388356,
"AUS","PPP","TOT","NATUSD","A","2006",1.403273,
"AUS","PPP","TOT","NATUSD","A","2007",1.426976,
"AUS","PPP","TOT","NATUSD","A","2008",1.479073,
"AUS","PPP","TOT","NATUSD","A","2009",1.441513,
"AUS","PPP","TOT","NATUSD","A","2010",1.501886,
"AUS","PPP","TOT","NATUSD","A","2011",1.511052,
"AUS","PPP","TOT","NATUSD","A","2012",1.540115,
"AUS","PPP","TOT","NATUSD","A","2013",1.447123,
"AUS","PPP","TOT","NATUSD","A","2014",1.452489,
"AUS","PPP","TOT","NATUSD","A","2015",1.474079,
"AUS","PPP","TOT","NATUSD","A","2016",1.451201,
"AUS","PPP","TOT","NATUSD","A","2017",1.444458,
"AUS","PPP","TOT","NATUSD","A","2018",1.432694,
"CAN","PPP","TOT","NATUSD","A","2000",1.22757,
"CAN","PPP","TOT","NATUSD","A","2001",1.221141,
"CAN","PPP","TOT","NATUSD","A","2002",1.229333,
"CAN","PPP","TOT","NATUSD","A","2003",1.226125,
"CAN","PPP","TOT","NATUSD","A","2004",1.233146,
"CAN","PPP","TOT","NATUSD","A","2005",1.213644,
"CAN","PPP","TOT","NATUSD","A","2006",1.205655,
"CAN","PPP","TOT","NATUSD","A","2007",1.213081,
"CAN","PPP","TOT","NATUSD","A","2008",1.23439,
"CAN","PPP","TOT","NATUSD","A","2009",1.20131,
"CAN","PPP","TOT","NATUSD","A","2010",1.221601,
"CAN","PPP","TOT","NATUSD","A","2011",1.239904,
"CAN","PPP","TOT","NATUSD","A","2012",1.244607,
"CAN","PPP","TOT","NATUSD","A","2013",1.224,
"CAN","PPP","TOT","NATUSD","A","2014",1.230358,
"CAN","PPP","TOT","NATUSD","A","2015",1.248004,
"CAN","PPP","TOT","NATUSD","A","2016",1.245164,
"CAN","PPP","TOT","NATUSD","A","2017",1.252006,
"CAN","PPP","TOT","NATUSD","A","2018",1.244715,
"FRA","PPP","TOT","NATUSD","A","2000",0.93024,
"FRA","PPP","TOT","NATUSD","A","2001",0.911567,
"FRA","PPP","TOT","NATUSD","A","2002",0.900678,
"FRA","PPP","TOT","NATUSD","A","2003",0.930925,
"FRA","PPP","TOT","NATUSD","A","2004",0.935979,
