"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2000",58.0626295531715,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2001",62.6192563664342,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2002",72.5589460286093,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2003",84.0720876980841,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2004",87.1542478266725,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2005",86.8240036283838,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2006",89.8899563353134,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2007",94.1712777876637,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2008",90.9111475344745,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2009",88.5577080892208,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2010",94.8305641908789,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2011",88.731328669642,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2012",84.9055373819152,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2013",87.631450747411,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2014",93.2284812643288,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2015",100,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2016",104.714461269195,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2017",112.746577490684,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2018",110.40931600527,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2000",49.1959837956116,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2001",50.7017106421221,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2002",53.7216526106479,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2003",57.3349679215147,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2004",61.4085881878067,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2005",65.7761084997524,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2006",72.7672757831667,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2007",79.9366732738759,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2008",82.8816774841921,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2009",79.3718965689535,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2010",85.3975892960617,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2011",88.6485375416225,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2012",91.6366275067732,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2013",92.500225728463,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2014",95.99823410691,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2015",100,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2016",109.223073664732,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2017",121.674380436881,
"CAN","HOUSECOST","PRICERENT","IDX2015","A","2018",125.174282330171,
"FRA","HOUSECOST","PRICERENT","IDX2015","A","2000",66.4085736704104,
"FRA","HOUSECOST","PRICERENT","IDX2015","A","2001",71.3848633891585,
"FRA","HOUSECOST","PRICERENT","IDX2015","A","2002",75.6358808979185,
