"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NNI","TOT","USD_CAP","A","2000",22724.638511,
"AUS","NNI","TOT","USD_CAP","A","2001",23754.354036,
"AUS","NNI","TOT","USD_CAP","A","2002",24804.321695,
"AUS","NNI","TOT","USD_CAP","A","2003",26052.065936,
"AUS","NNI","TOT","USD_CAP","A","2004",27073.81745,
"AUS","NNI","TOT","USD_CAP","A","2005",28336.771686,
"AUS","NNI","TOT","USD_CAP","A","2006",29958.385757,
"AUS","NNI","TOT","USD_CAP","A","2007",31543.40331,
"AUS","NNI","TOT","USD_CAP","A","2008",32115.924966,
"AUS","NNI","TOT","USD_CAP","A","2009",33075.493344,
"AUS","NNI","TOT","USD_CAP","A","2010",34234.821888,
"AUS","NNI","TOT","USD_CAP","A","2011",36046.14642,
"AUS","NNI","TOT","USD_CAP","A","2012",35629.515038,
"AUS","NNI","TOT","USD_CAP","A","2013",38492.395942,
"AUS","NNI","TOT","USD_CAP","A","2014",38250.075357,
"AUS","NNI","TOT","USD_CAP","A","2015",37587.827883,
"AUS","NNI","TOT","USD_CAP","A","2016",40041.492213,
"AUS","NNI","TOT","USD_CAP","A","2017",41297.438193,
"CAN","NNI","TOT","USD_CAP","A","2000",24208.502977,
"CAN","NNI","TOT","USD_CAP","A","2001",24728.327507,
"CAN","NNI","TOT","USD_CAP","A","2002",25421.483176,
"CAN","NNI","TOT","USD_CAP","A","2003",26745.822756,
"CAN","NNI","TOT","USD_CAP","A","2004",28273.503036,
"CAN","NNI","TOT","USD_CAP","A","2005",30365.171066,
"CAN","NNI","TOT","USD_CAP","A","2006",31919.453684,
"CAN","NNI","TOT","USD_CAP","A","2007",33058.545892,
"CAN","NNI","TOT","USD_CAP","A","2008",33530.96129,
"CAN","NNI","TOT","USD_CAP","A","2009",31585.193432,
"CAN","NNI","TOT","USD_CAP","A","2010",32835.668539,
"CAN","NNI","TOT","USD_CAP","A","2011",34298.599362,
