"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","SAVING","TOT","PC_GDP","A","2000",17.0432343605308,
"KOR","SAVING","TOT","PC_GDP","A","2001",14.748732462234,
"KOR","SAVING","TOT","PC_GDP","A","2002",14.7586112219759,
"KOR","SAVING","TOT","PC_GDP","A","2003",15.9338589369321,
"KOR","SAVING","TOT","PC_GDP","A","2004",18.0268645100282,
"KOR","SAVING","TOT","PC_GDP","A","2005",16.0867291086851,
"KOR","SAVING","TOT","PC_GDP","A","2006",15.2669114147378,
"KOR","SAVING","TOT","PC_GDP","A","2007",15.9360131311743,
"KOR","SAVING","TOT","PC_GDP","A","2008",14.4664036559063,
"KOR","SAVING","TOT","PC_GDP","A","2009",13.4732698693193,
"KOR","SAVING","TOT","PC_GDP","A","2010",16.4782408709974,
"KOR","SAVING","TOT","PC_GDP","A","2011",15.7139405454118,
"KOR","SAVING","TOT","PC_GDP","A","2012",14.9636064785194,
"KOR","SAVING","TOT","PC_GDP","A","2013",14.9518687457387,
"KOR","SAVING","TOT","PC_GDP","A","2014",14.8905041608479,
"KOR","SAVING","TOT","PC_GDP","A","2015",16.0505826936089,
"KOR","SAVING","TOT","PC_GDP","A","2016",16.8205844123412,
"KOR","SAVING","TOT","PC_GDP","A","2017",16.9451198668977,"E"
"USA","SAVING","TOT","PC_GDP","A","2000",6.00908260323222,
"USA","SAVING","TOT","PC_GDP","A","2001",4.51134974676384,
"USA","SAVING","TOT","PC_GDP","A","2002",3.15987373562349,
"USA","SAVING","TOT","PC_GDP","A","2003",2.37947413591923,
"USA","SAVING","TOT","PC_GDP","A","2004",2.80416383856529,
"USA","SAVING","TOT","PC_GDP","A","2005",3.02816592960286,
"USA","SAVING","TOT","PC_GDP","A","2006",3.86389509829775,
"USA","SAVING","TOT","PC_GDP","A","2007",1.96382334177054,
"USA","SAVING","TOT","PC_GDP","A","2008",-0.799736556729851,
"USA","SAVING","TOT","PC_GDP","A","2009",-2.51360446571414,
"USA","SAVING","TOT","PC_GDP","A","2010",-0.524998179035131,
