"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","ENRG","AGRWTH","A","2000",16.31646,
"AUS","CPI","ENRG","AGRWTH","A","2001",2.547727,
"AUS","CPI","ENRG","AGRWTH","A","2002",0.9298151,
"AUS","CPI","ENRG","AGRWTH","A","2003",5.059198,
"AUS","CPI","ENRG","AGRWTH","A","2004",6.260523,
"AUS","CPI","ENRG","AGRWTH","A","2005",9.712082,
"AUS","CPI","ENRG","AGRWTH","A","2006",9.277897,
"AUS","CPI","ENRG","AGRWTH","A","2007",1.405548,
"AUS","CPI","ENRG","AGRWTH","A","2008",12.48946,
"AUS","CPI","ENRG","AGRWTH","A","2009",-6.225967,
"AUS","CPI","ENRG","AGRWTH","A","2010",8.5486,
"AUS","CPI","ENRG","AGRWTH","A","2011",10.98091,
"AUS","CPI","ENRG","AGRWTH","A","2012",7.324251,
"AUS","CPI","ENRG","AGRWTH","A","2013",6.3174,
"AUS","CPI","ENRG","AGRWTH","A","2014",1.184765,
"AUS","CPI","ENRG","AGRWTH","A","2015",-7.295417,
"AUS","CPI","ENRG","AGRWTH","A","2016",-3.300958,
"AUS","CPI","ENRG","AGRWTH","A","2017",9.434053,
"AUS","CPI","ENRG","AGRWTH","A","2018",9.014605,
"CAN","CPI","ENRG","AGRWTH","A","2000",16.23052,
"CAN","CPI","ENRG","AGRWTH","A","2001",3.238047,
"CAN","CPI","ENRG","AGRWTH","A","2002",-1.97664,
"CAN","CPI","ENRG","AGRWTH","A","2003",7.882677,
"CAN","CPI","ENRG","AGRWTH","A","2004",6.758322,
"CAN","CPI","ENRG","AGRWTH","A","2005",9.665751,
"CAN","CPI","ENRG","AGRWTH","A","2006",5.165589,
"CAN","CPI","ENRG","AGRWTH","A","2007",2.327332,
"CAN","CPI","ENRG","AGRWTH","A","2008",9.81486,
"CAN","CPI","ENRG","AGRWTH","A","2009",-13.45392,
"CAN","CPI","ENRG","AGRWTH","A","2010",6.643876,
"CAN","CPI","ENRG","AGRWTH","A","2011",12.25428,
"CAN","CPI","ENRG","AGRWTH","A","2012",1.691901,
"CAN","CPI","ENRG","AGRWTH","A","2013",1.504795,
"CAN","CPI","ENRG","AGRWTH","A","2014",3.528736,
"CAN","CPI","ENRG","AGRWTH","A","2015",-9.569909,
"CAN","CPI","ENRG","AGRWTH","A","2016",-2.960691,
"CAN","CPI","ENRG","AGRWTH","A","2017",5.291887,
"CAN","CPI","ENRG","AGRWTH","A","2018",6.695771,
"FRA","CPI","ENRG","AGRWTH","A","2000",12.7967,
"FRA","CPI","ENRG","AGRWTH","A","2001",-1.729855,
"FRA","CPI","ENRG","AGRWTH","A","2002",-1.913709,
"FRA","CPI","ENRG","AGRWTH","A","2003",2.293953,
"FRA","CPI","ENRG","AGRWTH","A","2004",4.960553,
"FRA","CPI","ENRG","AGRWTH","A","2005",10.3273,
"FRA","CPI","ENRG","AGRWTH","A","2006",6.356844,
"FRA","CPI","ENRG","AGRWTH","A","2007",1.503704,
"FRA","CPI","ENRG","AGRWTH","A","2008",11.52482,
"FRA","CPI","ENRG","AGRWTH","A","2009",-12.42782,
"FRA","CPI","ENRG","AGRWTH","A","2010",9.879292,
"FRA","CPI","ENRG","AGRWTH","A","2011",12.61001,
"FRA","CPI","ENRG","AGRWTH","A","2012",5.131421,
"FRA","CPI","ENRG","AGRWTH","A","2013",0.7326354,
"FRA","CPI","ENRG","AGRWTH","A","2014",-1.476806,
"FRA","CPI","ENRG","AGRWTH","A","2015",-4.764578,
"FRA","CPI","ENRG","AGRWTH","A","2016",-2.767709,
"FRA","CPI","ENRG","AGRWTH","A","2017",5.985246,
"FRA","CPI","ENRG","AGRWTH","A","2018",9.543289,
