"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","A","2000",4.457435,
"AUS","CPI","TOT","AGRWTH","A","2001",4.407135,
"AUS","CPI","TOT","AGRWTH","A","2002",2.981575,
"AUS","CPI","TOT","AGRWTH","A","2003",2.732596,
"AUS","CPI","TOT","AGRWTH","A","2004",2.343255,
"AUS","CPI","TOT","AGRWTH","A","2005",2.691832,
"AUS","CPI","TOT","AGRWTH","A","2006",3.555288,
"AUS","CPI","TOT","AGRWTH","A","2007",2.327611,
"AUS","CPI","TOT","AGRWTH","A","2008",4.350298,
"AUS","CPI","TOT","AGRWTH","A","2009",1.771117,
"AUS","CPI","TOT","AGRWTH","A","2010",2.91834,
"AUS","CPI","TOT","AGRWTH","A","2011",3.30385,
"AUS","CPI","TOT","AGRWTH","A","2012",1.76278,
"AUS","CPI","TOT","AGRWTH","A","2013",2.449889,
"AUS","CPI","TOT","AGRWTH","A","2014",2.487923,
"AUS","CPI","TOT","AGRWTH","A","2015",1.508367,
"AUS","CPI","TOT","AGRWTH","A","2016",1.276991,
"AUS","CPI","TOT","AGRWTH","A","2017",1.948647,
"AUS","CPI","TOT","AGRWTH","A","2018",1.911401,
"CAN","CPI","TOT","AGRWTH","A","2000",2.71944,
"CAN","CPI","TOT","AGRWTH","A","2001",2.52512,
"CAN","CPI","TOT","AGRWTH","A","2002",2.258394,
"CAN","CPI","TOT","AGRWTH","A","2003",2.758563,
"CAN","CPI","TOT","AGRWTH","A","2004",1.857259,
"CAN","CPI","TOT","AGRWTH","A","2005",2.213552,
"CAN","CPI","TOT","AGRWTH","A","2006",2.002025,
"CAN","CPI","TOT","AGRWTH","A","2007",2.138384,
"CAN","CPI","TOT","AGRWTH","A","2008",2.370271,
"CAN","CPI","TOT","AGRWTH","A","2009",0.2994668,
"CAN","CPI","TOT","AGRWTH","A","2010",1.776872,
"CAN","CPI","TOT","AGRWTH","A","2011",2.912135,
"CAN","CPI","TOT","AGRWTH","A","2012",1.515678,
"CAN","CPI","TOT","AGRWTH","A","2013",0.9382919,
"CAN","CPI","TOT","AGRWTH","A","2014",1.906636,
"CAN","CPI","TOT","AGRWTH","A","2015",1.125241,
"CAN","CPI","TOT","AGRWTH","A","2016",1.42876,
"CAN","CPI","TOT","AGRWTH","A","2017",1.596884,
"CAN","CPI","TOT","AGRWTH","A","2018",2.268226,
"FRA","CPI","TOT","AGRWTH","A","2000",1.67596,
"FRA","CPI","TOT","AGRWTH","A","2001",1.634781,
"FRA","CPI","TOT","AGRWTH","A","2002",1.923412,
"FRA","CPI","TOT","AGRWTH","A","2003",2.098472,
"FRA","CPI","TOT","AGRWTH","A","2004",2.14209,
"FRA","CPI","TOT","AGRWTH","A","2005",1.745869,
"FRA","CPI","TOT","AGRWTH","A","2006",1.675125,
"FRA","CPI","TOT","AGRWTH","A","2007",1.487998,
"FRA","CPI","TOT","AGRWTH","A","2008",2.812862,
"FRA","CPI","TOT","AGRWTH","A","2009",0.08762048,
"FRA","CPI","TOT","AGRWTH","A","2010",1.531123,
"FRA","CPI","TOT","AGRWTH","A","2011",2.111598,
"FRA","CPI","TOT","AGRWTH","A","2012",1.954195,
"FRA","CPI","TOT","AGRWTH","A","2013",0.8637155,
"FRA","CPI","TOT","AGRWTH","A","2014",0.5077588,
"FRA","CPI","TOT","AGRWTH","A","2015",0.03751438,
"FRA","CPI","TOT","AGRWTH","A","2016",0.1833349,
"FRA","CPI","TOT","AGRWTH","A","2017",1.032283,
"FRA","CPI","TOT","AGRWTH","A","2018",1.850815,
"DEU","CPI","TOT","AGRWTH","A","2000",1.440268,
"DEU","CPI","TOT","AGRWTH","A","2001",1.983857,
"DEU","CPI","TOT","AGRWTH","A","2002",1.420807,
"DEU","CPI","TOT","AGRWTH","A","2003",1.034223,
"DEU","CPI","TOT","AGRWTH","A","2004",1.665736,
"DEU","CPI","TOT","AGRWTH","A","2005",1.546911,
"DEU","CPI","TOT","AGRWTH","A","2006",1.577429,
"DEU","CPI","TOT","AGRWTH","A","2007",2.298341,
"DEU","CPI","TOT","AGRWTH","A","2008",2.628383,
"DEU","CPI","TOT","AGRWTH","A","2009",0.3127377,
"DEU","CPI","TOT","AGRWTH","A","2010",1.103809,
"DEU","CPI","TOT","AGRWTH","A","2011",2.075173,
"DEU","CPI","TOT","AGRWTH","A","2012",2.008491,
"DEU","CPI","TOT","AGRWTH","A","2013",1.504722,
"DEU","CPI","TOT","AGRWTH","A","2014",0.9067971,
"DEU","CPI","TOT","AGRWTH","A","2015",0.514421,
"DEU","CPI","TOT","AGRWTH","A","2016",0.4917486,
"DEU","CPI","TOT","AGRWTH","A","2017",1.509497,
"DEU","CPI","TOT","AGRWTH","A","2018",1.732168,
"ITA","CPI","TOT","AGRWTH","A","2000",2.537687,
"ITA","CPI","TOT","AGRWTH","A","2001",2.785166,
"ITA","CPI","TOT","AGRWTH","A","2002",2.46532,
"ITA","CPI","TOT","AGRWTH","A","2003",2.672559,
"ITA","CPI","TOT","AGRWTH","A","2004",2.206736,
"ITA","CPI","TOT","AGRWTH","A","2005",1.985294,
"ITA","CPI","TOT","AGRWTH","A","2006",2.090843,
"ITA","CPI","TOT","AGRWTH","A","2007",1.829738,
"ITA","CPI","TOT","AGRWTH","A","2008",3.347834,
"ITA","CPI","TOT","AGRWTH","A","2009",0.7747682,
"ITA","CPI","TOT","AGRWTH","A","2010",1.525516,
"ITA","CPI","TOT","AGRWTH","A","2011",2.780633,
"ITA","CPI","TOT","AGRWTH","A","2012",3.041363,
"ITA","CPI","TOT","AGRWTH","A","2013",1.219992,
"ITA","CPI","TOT","AGRWTH","A","2014",0.2410575,
"ITA","CPI","TOT","AGRWTH","A","2015",0.03878675,
"ITA","CPI","TOT","AGRWTH","A","2016",-0.0940214,
"ITA","CPI","TOT","AGRWTH","A","2017",1.226533,
"ITA","CPI","TOT","AGRWTH","A","2018",1.137488,
"JPN","CPI","TOT","AGRWTH","A","2000",-0.6765787,
"JPN","CPI","TOT","AGRWTH","A","2001",-0.7400555,
"JPN","CPI","TOT","AGRWTH","A","2002",-0.923494,
"JPN","CPI","TOT","AGRWTH","A","2003",-0.2565418,
"JPN","CPI","TOT","AGRWTH","A","2004",-0.008573388,
"JPN","CPI","TOT","AGRWTH","A","2005",-0.2829461,
"JPN","CPI","TOT","AGRWTH","A","2006",0.2493551,
"JPN","CPI","TOT","AGRWTH","A","2007",0.06003945,
"JPN","CPI","TOT","AGRWTH","A","2008",1.380079,
"JPN","CPI","TOT","AGRWTH","A","2009",-1.352837,
"JPN","CPI","TOT","AGRWTH","A","2010",-0.7199794,
"JPN","CPI","TOT","AGRWTH","A","2011",-0.2676336,
"JPN","CPI","TOT","AGRWTH","A","2012",-0.05193906,
"JPN","CPI","TOT","AGRWTH","A","2013",0.3464403,
"JPN","CPI","TOT","AGRWTH","A","2014",2.761954,
"JPN","CPI","TOT","AGRWTH","A","2015",0.7895179,
"JPN","CPI","TOT","AGRWTH","A","2016",-0.1166667,
"JPN","CPI","TOT","AGRWTH","A","2017",0.4672118,
"JPN","CPI","TOT","AGRWTH","A","2018",0.9799037,
"KOR","CPI","TOT","AGRWTH","A","2000",2.259185,
"KOR","CPI","TOT","AGRWTH","A","2001",4.06642,
"KOR","CPI","TOT","AGRWTH","A","2002",2.762511,
"KOR","CPI","TOT","AGRWTH","A","2003",3.514879,
"KOR","CPI","TOT","AGRWTH","A","2004",3.590591,
"KOR","CPI","TOT","AGRWTH","A","2005",2.75409,
"KOR","CPI","TOT","AGRWTH","A","2006",2.241847,
"KOR","CPI","TOT","AGRWTH","A","2007",2.534847,
"KOR","CPI","TOT","AGRWTH","A","2008",4.673796,
"KOR","CPI","TOT","AGRWTH","A","2009",2.756686,
"KOR","CPI","TOT","AGRWTH","A","2010",2.939181,
"KOR","CPI","TOT","AGRWTH","A","2011",4.025846,
"KOR","CPI","TOT","AGRWTH","A","2012",2.187221,
"KOR","CPI","TOT","AGRWTH","A","2013",1.301377,
"KOR","CPI","TOT","AGRWTH","A","2014",1.274715,
"KOR","CPI","TOT","AGRWTH","A","2015",0.7062082,
"KOR","CPI","TOT","AGRWTH","A","2016",0.9716747,
"KOR","CPI","TOT","AGRWTH","A","2017",1.944456,
"KOR","CPI","TOT","AGRWTH","A","2018",1.475862,
"MEX","CPI","TOT","AGRWTH","A","2000",9.49156,
"MEX","CPI","TOT","AGRWTH","A","2001",6.367737,
"MEX","CPI","TOT","AGRWTH","A","2002",5.030733,
"MEX","CPI","TOT","AGRWTH","A","2003",4.546898,
"MEX","CPI","TOT","AGRWTH","A","2004",4.688407,
"MEX","CPI","TOT","AGRWTH","A","2005",3.988061,
"MEX","CPI","TOT","AGRWTH","A","2006",3.629463,
"MEX","CPI","TOT","AGRWTH","A","2007",3.96685,
"MEX","CPI","TOT","AGRWTH","A","2008",5.124982,
"MEX","CPI","TOT","AGRWTH","A","2009",5.297357,
"MEX","CPI","TOT","AGRWTH","A","2010",4.156728,
"MEX","CPI","TOT","AGRWTH","A","2011",3.40738,
"MEX","CPI","TOT","AGRWTH","A","2012",4.111508,
"MEX","CPI","TOT","AGRWTH","A","2013",3.80639,
"MEX","CPI","TOT","AGRWTH","A","2014",4.018617,
"MEX","CPI","TOT","AGRWTH","A","2015",2.720641,
"MEX","CPI","TOT","AGRWTH","A","2016",2.821708,
"MEX","CPI","TOT","AGRWTH","A","2017",6.041456,
"MEX","CPI","TOT","AGRWTH","A","2018",4.899351,
"TUR","CPI","TOT","AGRWTH","A","2000",54.91538,
"TUR","CPI","TOT","AGRWTH","A","2001",54.40018,
"TUR","CPI","TOT","AGRWTH","A","2002",44.96412,
"TUR","CPI","TOT","AGRWTH","A","2003",21.60244,
"TUR","CPI","TOT","AGRWTH","A","2004",8.598262,
"TUR","CPI","TOT","AGRWTH","A","2005",8.17916,
"TUR","CPI","TOT","AGRWTH","A","2006",9.597242,
"TUR","CPI","TOT","AGRWTH","A","2007",8.756181,
"TUR","CPI","TOT","AGRWTH","A","2008",10.44413,
"TUR","CPI","TOT","AGRWTH","A","2009",6.250977,
"TUR","CPI","TOT","AGRWTH","A","2010",8.566444,
"TUR","CPI","TOT","AGRWTH","A","2011",6.471879,
"TUR","CPI","TOT","AGRWTH","A","2012",8.89157,
"TUR","CPI","TOT","AGRWTH","A","2013",7.49309,
"TUR","CPI","TOT","AGRWTH","A","2014",8.854572,
"TUR","CPI","TOT","AGRWTH","A","2015",7.670854,
"TUR","CPI","TOT","AGRWTH","A","2016",7.775134,
"TUR","CPI","TOT","AGRWTH","A","2017",11.14431,
"TUR","CPI","TOT","AGRWTH","A","2018",16.33246,
"GBR","CPI","TOT","AGRWTH","A","2000",1.2,
"GBR","CPI","TOT","AGRWTH","A","2001",1.6,
"GBR","CPI","TOT","AGRWTH","A","2002",1.5,
"GBR","CPI","TOT","AGRWTH","A","2003",1.4,
"GBR","CPI","TOT","AGRWTH","A","2004",1.4,
"GBR","CPI","TOT","AGRWTH","A","2005",2.1,
"GBR","CPI","TOT","AGRWTH","A","2006",2.5,
"GBR","CPI","TOT","AGRWTH","A","2007",2.4,
"GBR","CPI","TOT","AGRWTH","A","2008",3.5,
"GBR","CPI","TOT","AGRWTH","A","2009",2,
"GBR","CPI","TOT","AGRWTH","A","2010",2.5,
"GBR","CPI","TOT","AGRWTH","A","2011",3.8,
"GBR","CPI","TOT","AGRWTH","A","2012",2.6,
"GBR","CPI","TOT","AGRWTH","A","2013",2.3,
"GBR","CPI","TOT","AGRWTH","A","2014",1.5,
"GBR","CPI","TOT","AGRWTH","A","2015",0.4,
