"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2003",5.490536,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2004",-1.471,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2005",1.674807,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2006",2.378657,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2007",5.313762,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2008",7.923331,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2009",7.884775,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2010",4.091837,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2011",3.672263,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2012",4.757685,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2013",5.125073,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2014",5.559036,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2015",5.564551,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2016",5.653211,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2017",4.635775,
"ZAF","CPI","TOT_FOODENRG","AGRWTH","A","2018",4.161757,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2000",0.7948847,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2001",1.257777,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2002",1.793083,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2003",2.097587,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2004",2.167557,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2005",1.540248,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2006",1.286191,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2007",1.455425,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2008",1.555379,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2009",1.287152,
