"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","ENRG","IDX2015","A","2000",52.33768,
"AUS","CPI","ENRG","IDX2015","A","2001",53.6711,
"AUS","CPI","ENRG","IDX2015","A","2002",54.17014,
"AUS","CPI","ENRG","IDX2015","A","2003",56.91072,
"AUS","CPI","ENRG","IDX2015","A","2004",60.47363,
"AUS","CPI","ENRG","IDX2015","A","2005",66.34688,
"AUS","CPI","ENRG","IDX2015","A","2006",72.50247,
"AUS","CPI","ENRG","IDX2015","A","2007",73.52153,
"AUS","CPI","ENRG","IDX2015","A","2008",82.70397,
"AUS","CPI","ENRG","IDX2015","A","2009",77.55485,
"AUS","CPI","ENRG","IDX2015","A","2010",84.1847,
"AUS","CPI","ENRG","IDX2015","A","2011",93.42895,
"AUS","CPI","ENRG","IDX2015","A","2012",100.2719,
"AUS","CPI","ENRG","IDX2015","A","2013",106.6065,
"AUS","CPI","ENRG","IDX2015","A","2014",107.8695,
"AUS","CPI","ENRG","IDX2015","A","2015",100,
"AUS","CPI","ENRG","IDX2015","A","2016",96.69904,
"AUS","CPI","ENRG","IDX2015","A","2017",105.8217,
"AUS","CPI","ENRG","IDX2015","A","2018",115.3611,
"CAN","CPI","ENRG","IDX2015","A","2000",66.12211,
"CAN","CPI","ENRG","IDX2015","A","2001",68.26318,
"CAN","CPI","ENRG","IDX2015","A","2002",66.91386,
"CAN","CPI","ENRG","IDX2015","A","2003",72.18846,
"CAN","CPI","ENRG","IDX2015","A","2004",77.06718,
"CAN","CPI","ENRG","IDX2015","A","2005",84.51631,
"CAN","CPI","ENRG","IDX2015","A","2006",88.88207,
"CAN","CPI","ENRG","IDX2015","A","2007",90.95065,
"CAN","CPI","ENRG","IDX2015","A","2008",99.87733,
"CAN","CPI","ENRG","IDX2015","A","2009",86.43992,
"CAN","CPI","ENRG","IDX2015","A","2010",92.18288,
"CAN","CPI","ENRG","IDX2015","A","2011",103.4792,
"CAN","CPI","ENRG","IDX2015","A","2012",105.23,
"CAN","CPI","ENRG","IDX2015","A","2013",106.8135,
"CAN","CPI","ENRG","IDX2015","A","2014",110.5827,
"CAN","CPI","ENRG","IDX2015","A","2015",100,
"CAN","CPI","ENRG","IDX2015","A","2016",97.03931,
"CAN","CPI","ENRG","IDX2015","A","2017",102.1745,
"CAN","CPI","ENRG","IDX2015","A","2018",109.0159,
"FRA","CPI","ENRG","IDX2015","A","2000",67.56036,
"FRA","CPI","ENRG","IDX2015","A","2001",66.39166,
"FRA","CPI","ENRG","IDX2015","A","2002",65.12112,
"FRA","CPI","ENRG","IDX2015","A","2003",66.61497,
"FRA","CPI","ENRG","IDX2015","A","2004",69.91943,
"FRA","CPI","ENRG","IDX2015","A","2005",77.14022,
"FRA","CPI","ENRG","IDX2015","A","2006",82.04391,
"FRA","CPI","ENRG","IDX2015","A","2007",83.2776,
"FRA","CPI","ENRG","IDX2015","A","2008",92.87521,
"FRA","CPI","ENRG","IDX2015","A","2009",81.33284,
"FRA","CPI","ENRG","IDX2015","A","2010",89.36795,
"FRA","CPI","ENRG","IDX2015","A","2011",100.6373,
"FRA","CPI","ENRG","IDX2015","A","2012",105.8014,
"FRA","CPI","ENRG","IDX2015","A","2013",106.5765,
"FRA","CPI","ENRG","IDX2015","A","2014",105.0026,
"FRA","CPI","ENRG","IDX2015","A","2015",99.99966,
"FRA","CPI","ENRG","IDX2015","A","2016",97.23196,
"FRA","CPI","ENRG","IDX2015","A","2017",103.0515,
"FRA","CPI","ENRG","IDX2015","A","2018",112.886,
"DEU","CPI","ENRG","IDX2015","A","2000",61.6232,
"DEU","CPI","ENRG","IDX2015","A","2001",65.68931,
"DEU","CPI","ENRG","IDX2015","A","2002",66.04794,
"DEU","CPI","ENRG","IDX2015","A","2003",68.71178,
"DEU","CPI","ENRG","IDX2015","A","2004",71.52305,
"DEU","CPI","ENRG","IDX2015","A","2005",78.35786,
"DEU","CPI","ENRG","IDX2015","A","2006",84.00432,
"DEU","CPI","ENRG","IDX2015","A","2007",87.32161,
"DEU","CPI","ENRG","IDX2015","A","2008",95.47986,
"DEU","CPI","ENRG","IDX2015","A","2009",89.95259,
"DEU","CPI","ENRG","IDX2015","A","2010",93.87705,
"DEU","CPI","ENRG","IDX2015","A","2011",103.1993,
"DEU","CPI","ENRG","IDX2015","A","2012",109.103,
"DEU","CPI","ENRG","IDX2015","A","2013",110.3317,
"DEU","CPI","ENRG","IDX2015","A","2014",107.8967,
"DEU","CPI","ENRG","IDX2015","A","2015",100,
"DEU","CPI","ENRG","IDX2015","A","2016",94.64426,
"DEU","CPI","ENRG","IDX2015","A","2017",97.19832,
"DEU","CPI","ENRG","IDX2015","A","2018",101.7893,
"ITA","CPI","ENRG","IDX2015","A","2000",67.41794,
"ITA","CPI","ENRG","IDX2015","A","2001",68.44441,
"ITA","CPI","ENRG","IDX2015","A","2002",66.60303,
"ITA","CPI","ENRG","IDX2015","A","2003",68.7026,
"ITA","CPI","ENRG","IDX2015","A","2004",70.28664,
"ITA","CPI","ENRG","IDX2015","A","2005",76.42294,
"ITA","CPI","ENRG","IDX2015","A","2006",82.60324,
"ITA","CPI","ENRG","IDX2015","A","2007",83.42417,
"ITA","CPI","ENRG","IDX2015","A","2008",91.87477,
"ITA","CPI","ENRG","IDX2015","A","2009",84.35249,
"ITA","CPI","ENRG","IDX2015","A","2010",87.44169,
"ITA","CPI","ENRG","IDX2015","A","2011",97.33685,
"ITA","CPI","ENRG","IDX2015","A","2012",111.192,
"ITA","CPI","ENRG","IDX2015","A","2013",110.7822,
"ITA","CPI","ENRG","IDX2015","A","2014",107.5079,
"ITA","CPI","ENRG","IDX2015","A","2015",99.98663,
"ITA","CPI","ENRG","IDX2015","A","2016",94.59988,
"ITA","CPI","ENRG","IDX2015","A","2017",98.89662,
"ITA","CPI","ENRG","IDX2015","A","2018",104.4626,
"JPN","CPI","ENRG","IDX2015","A","2000",78.675,
"JPN","CPI","ENRG","IDX2015","A","2001",79.08334,
"JPN","CPI","ENRG","IDX2015","A","2002",77.2,
"JPN","CPI","ENRG","IDX2015","A","2003",77.23333,
"JPN","CPI","ENRG","IDX2015","A","2004",78.45834,
"JPN","CPI","ENRG","IDX2015","A","2005",81.29166,
"JPN","CPI","ENRG","IDX2015","A","2006",86.04166,
"JPN","CPI","ENRG","IDX2015","A","2007",87.44167,
"JPN","CPI","ENRG","IDX2015","A","2008",95.34167,
"JPN","CPI","ENRG","IDX2015","A","2009",84.79166,
"JPN","CPI","ENRG","IDX2015","A","2010",87.05833,
"JPN","CPI","ENRG","IDX2015","A","2011",92.14167,
"JPN","CPI","ENRG","IDX2015","A","2012",95.58334,
"JPN","CPI","ENRG","IDX2015","A","2013",101.1167,
"JPN","CPI","ENRG","IDX2015","A","2014",107.7333,
"JPN","CPI","ENRG","IDX2015","A","2015",100.0083,
"JPN","CPI","ENRG","IDX2015","A","2016",89.775,
"JPN","CPI","ENRG","IDX2015","A","2017",94.55,
"JPN","CPI","ENRG","IDX2015","A","2018",101.1417,
"KOR","CPI","ENRG","IDX2015","A","2000",67.79908,
"KOR","CPI","ENRG","IDX2015","A","2001",72.56184,
"KOR","CPI","ENRG","IDX2015","A","2002",70.24533,
"KOR","CPI","ENRG","IDX2015","A","2003",72.84409,
"KOR","CPI","ENRG","IDX2015","A","2004",76.74284,
"KOR","CPI","ENRG","IDX2015","A","2005",81.09883,
"KOR","CPI","ENRG","IDX2015","A","2006",86.80967,
"KOR","CPI","ENRG","IDX2015","A","2007",89.24934,
"KOR","CPI","ENRG","IDX2015","A","2008",100.8059,
"KOR","CPI","ENRG","IDX2015","A","2009",95.528,
"KOR","CPI","ENRG","IDX2015","A","2010",101.7083,
"KOR","CPI","ENRG","IDX2015","A","2011",111.7366,
"KOR","CPI","ENRG","IDX2015","A","2012",116.5608,
"KOR","CPI","ENRG","IDX2015","A","2013",116.8975,
"KOR","CPI","ENRG","IDX2015","A","2014",116.4193,
"KOR","CPI","ENRG","IDX2015","A","2015",100,
"KOR","CPI","ENRG","IDX2015","A","2016",90.63917,
"KOR","CPI","ENRG","IDX2015","A","2017",93.74834,
"KOR","CPI","ENRG","IDX2015","A","2018",95.90417,
"MEX","CPI","ENRG","IDX2015","A","2000",40.16105,
"MEX","CPI","ENRG","IDX2015","A","2001",43.59832,
"MEX","CPI","ENRG","IDX2015","A","2002",46.71963,
"MEX","CPI","ENRG","IDX2015","A","2003",50.81324,
"MEX","CPI","ENRG","IDX2015","A","2004",54.63787,
"MEX","CPI","ENRG","IDX2015","A","2005",57.93992,
"MEX","CPI","ENRG","IDX2015","A","2006",62.14754,
"MEX","CPI","ENRG","IDX2015","A","2007",64.54183,
"MEX","CPI","ENRG","IDX2015","A","2008",68.46075,
"MEX","CPI","ENRG","IDX2015","A","2009",70.17405,
"MEX","CPI","ENRG","IDX2015","A","2010",73.97002,
"MEX","CPI","ENRG","IDX2015","A","2011",78.05053,
"MEX","CPI","ENRG","IDX2015","A","2012",83.76255,
"MEX","CPI","ENRG","IDX2015","A","2013",90.06596,
"MEX","CPI","ENRG","IDX2015","A","2014",97.59663,
"MEX","CPI","ENRG","IDX2015","A","2015",100,
"MEX","CPI","ENRG","IDX2015","A","2016",99.81568,
"MEX","CPI","ENRG","IDX2015","A","2017",115.5451,
"MEX","CPI","ENRG","IDX2015","A","2018",130.5799,
"TUR","CPI","ENRG","IDX2015","A","2000",11.06837,
"TUR","CPI","ENRG","IDX2015","A","2001",21.2727,
"TUR","CPI","ENRG","IDX2015","A","2002",30.98481,
"TUR","CPI","ENRG","IDX2015","A","2003",36.63054,
"TUR","CPI","ENRG","IDX2015","A","2004",38.35251,
"TUR","CPI","ENRG","IDX2015","A","2005",43.9931,
"TUR","CPI","ENRG","IDX2015","A","2006",48.94502,
"TUR","CPI","ENRG","IDX2015","A","2007",52.01593,
"TUR","CPI","ENRG","IDX2015","A","2008",63.66098,
"TUR","CPI","ENRG","IDX2015","A","2009",66.92634,
"TUR","CPI","ENRG","IDX2015","A","2010",73.97906,
"TUR","CPI","ENRG","IDX2015","A","2011",81.26866,
"TUR","CPI","ENRG","IDX2015","A","2012",92.54312,
"TUR","CPI","ENRG","IDX2015","A","2013",99.47068,
"TUR","CPI","ENRG","IDX2015","A","2014",101.9772,
"TUR","CPI","ENRG","IDX2015","A","2015",100,
"TUR","CPI","ENRG","IDX2015","A","2016",102.6961,
"TUR","CPI","ENRG","IDX2015","A","2017",113.4445,
"TUR","CPI","ENRG","IDX2015","A","2018",135.3521,
"GBR","CPI","ENRG","IDX2015","A","2000",50.63306,
"GBR","CPI","ENRG","IDX2015","A","2001",49.31401,
"GBR","CPI","ENRG","IDX2015","A","2002",48.92164,
"GBR","CPI","ENRG","IDX2015","A","2003",50.1906,
"GBR","CPI","ENRG","IDX2015","A","2004",53.34629,
"GBR","CPI","ENRG","IDX2015","A","2005",59.3,"B"
"GBR","CPI","ENRG","IDX2015","A","2006",68,
"GBR","CPI","ENRG","IDX2015","A","2007",71.8,
"GBR","CPI","ENRG","IDX2015","A","2008",84.1,
"GBR","CPI","ENRG","IDX2015","A","2009",84.3,
"GBR","CPI","ENRG","IDX2015","A","2010",89.2,
"GBR","CPI","ENRG","IDX2015","A","2011",99.8,
"GBR","CPI","ENRG","IDX2015","A","2012",104.8,
"GBR","CPI","ENRG","IDX2015","A","2013",108.3,
"GBR","CPI","ENRG","IDX2015","A","2014",108.4,
"GBR","CPI","ENRG","IDX2015","A","2015",100,
"GBR","CPI","ENRG","IDX2015","A","2016",97.5,
"GBR","CPI","ENRG","IDX2015","A","2017",103.4,
