"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","FOOD","IDX2015","A","2000",65.67574,
"AUS","CPI","FOOD","IDX2015","A","2001",69.80045,
"AUS","CPI","FOOD","IDX2015","A","2002",72.41866,
"AUS","CPI","FOOD","IDX2015","A","2003",75.10207,
"AUS","CPI","FOOD","IDX2015","A","2004",76.54574,
"AUS","CPI","FOOD","IDX2015","A","2005",78.00458,
"AUS","CPI","FOOD","IDX2015","A","2006",85.68983,
"AUS","CPI","FOOD","IDX2015","A","2007",87.10923,
"AUS","CPI","FOOD","IDX2015","A","2008",90.81296,
"AUS","CPI","FOOD","IDX2015","A","2009",93.85717,
"AUS","CPI","FOOD","IDX2015","A","2010",94.92635,
"AUS","CPI","FOOD","IDX2015","A","2011",100.3696,
"AUS","CPI","FOOD","IDX2015","A","2012",96.65887,
"AUS","CPI","FOOD","IDX2015","A","2013",96.87155,
"AUS","CPI","FOOD","IDX2015","A","2014",99.42866,
"AUS","CPI","FOOD","IDX2015","A","2015",100,
"AUS","CPI","FOOD","IDX2015","A","2016",100.2407,
"AUS","CPI","FOOD","IDX2015","A","2017",100.312,
"AUS","CPI","FOOD","IDX2015","A","2018",100.9845,
"CAN","CPI","FOOD","IDX2015","A","2000",65.88562,
"CAN","CPI","FOOD","IDX2015","A","2001",69.07867,
"CAN","CPI","FOOD","IDX2015","A","2002",70.82571,
"CAN","CPI","FOOD","IDX2015","A","2003",71.84678,
"CAN","CPI","FOOD","IDX2015","A","2004",73.12164,
"CAN","CPI","FOOD","IDX2015","A","2005",74.79785,
"CAN","CPI","FOOD","IDX2015","A","2006",76.49767,
"CAN","CPI","FOOD","IDX2015","A","2007",78.5103,
"CAN","CPI","FOOD","IDX2015","A","2008",81.59712,
"CAN","CPI","FOOD","IDX2015","A","2009",86.06504,
"CAN","CPI","FOOD","IDX2015","A","2010",86.87954,
"CAN","CPI","FOOD","IDX2015","A","2011",90.56248,
"CAN","CPI","FOOD","IDX2015","A","2012",92.69315,
"CAN","CPI","FOOD","IDX2015","A","2013",93.70242,
"CAN","CPI","FOOD","IDX2015","A","2014",96.05737,
"CAN","CPI","FOOD","IDX2015","A","2015",100,
"CAN","CPI","FOOD","IDX2015","A","2016",101.0152,
