"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2000",67.50404,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2001",70.38914,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2002",72.4977,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2003",74.29533,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2004",75.91567,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2005",77.7295,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2006",79.57635,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2007",81.55216,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2008",84.67668,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2009",86.46919,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2010",88.89358,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2011",91.05766,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2012",92.98025,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2013",95.24944,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2014",97.68442,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2015",100,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2016",101.7255,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2017",103.4303,
"AUS","CPI","TOT_FOODENRG","IDX2015","A","2018",105.047,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2000",78.03876,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2001",79.67041,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2002",81.80949,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2003",83.7892,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2004",84.91257,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2005",86.06446,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2006",87.15993,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2007",88.93777,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2008",89.88493,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2009",91.40191,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2010",92.62227,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2011",93.94923,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2012",95.22218,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2013",96.01105,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2014",97.51143,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2015",100,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2016",102.0216,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2017",103.8365,
"CAN","CPI","TOT_FOODENRG","IDX2015","A","2018",105.9382,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2000",81.73418,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2001",82.76221,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2002",84.24621,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2003",86.01334,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2004",87.87774,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2005",89.23127,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2006",90.37895,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2007",91.69435,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2008",93.12054,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2009",94.31915,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2010",95.24812,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2011",96.32495,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2012",97.62257,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2013",98.47042,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2014",99.45056,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2015",99.99895,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2016",100.4188,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2017",100.9537,
"FRA","CPI","TOT_FOODENRG","IDX2015","A","2018",101.9691,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2000",82.72505,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2001",83.41384,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2002",84.71385,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2003",85.51259,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2004",86.97327,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2005",87.89886,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2006",88.89046,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2007",90.61076,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2008",91.91614,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2009",93.08716,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2010",93.74763,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2011",94.60898,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2012",95.82436,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2013",97.03235,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2014",98.36082,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2015",100,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2016",101.2419,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2017",102.4539,
"DEU","CPI","TOT_FOODENRG","IDX2015","A","2018",103.7607,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2000",76.41273,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2001",78.47755,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2002",80.3592,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2003",82.35291,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2004",84.11066,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2005",85.83693,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2006",87.31894,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2007",88.98293,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2008",90.97501,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2009",92.27431,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2010",93.75396,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2011",95.70315,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2012",97.37333,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2013",98.46655,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2014",99.28098,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2015",99.95644,
"ITA","CPI","TOT_FOODENRG","IDX2015","A","2016",100.4355,
