"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2000",68.1993895310519,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2001",70.0894998872256,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2002",81.6025242139108,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2003",92.1397100444941,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2004",91.2938448941744,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2005",88.3060156093543,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2006",89.5977249394445,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2007",91.0082120688783,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2008",87.9686772565373,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2009",87.4123447116905,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2010",93.8375014100752,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2011",86.2580933566502,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2012",84.7250285159939,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2013",87.9077005086787,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2014",92.7318216203259,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2015",100,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2016",105.134067136349,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2017",112.846865429897,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2018",109.771378784118,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2000",65.4213665546639,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2001",66.3225349119161,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2002",69.5179832407723,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2003",73.4216627629505,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2004",76.3687070501082,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2005",79.6939493880147,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2006",84.248100821293,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2007",89.9127388789896,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2008",90.7825605319626,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2009",87.7998168771683,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2010",92.3706043884719,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2011",93.7437799544581,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2012",95.6685373927983,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2013",95.3552652080366,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2014",98.207180241922,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2015",100,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2016",110.92200868444,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2017",120.258866869676,
"CAN","HOUSECOST","PRICEINCOME","IDX2015","A","2018",122.463894496715,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2000",66.7574262033509,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2001",68.8584939234488,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2002",72.3693750659898,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2003",79.7124163529966,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2004",88.6826768729564,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2005",100.169047091359,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2006",107.63661931385,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2007",109.623577190343,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2008",107.953969028206,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2009",100.479076696232,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2010",103.197815770343,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2011",107.832796336792,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2012",106.647410429644,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2013",105.439183566096,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2014",102.699409736219,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2015",100,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2016",99.4483908178312,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2017",100.59654299618,
"FRA","HOUSECOST","PRICEINCOME","IDX2015","A","2018",101.369905515991,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2000",113.5823975773,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2001",108.735416724353,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2002",106.828786913051,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2003",104.578579257903,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2004",101.011855912759,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2005",100.35506506813,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2006",97.686531930801,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2007",93.8378212917508,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2008",92.7317511107072,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2009",94.149273683503,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2010",92.6554705400528,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2011",93.0919420958128,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2012",94.1584070957101,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2013",96.1001285830895,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2014",97.1049308684973,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2015",100,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2016",105.240212798642,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2017",108.367949889571,
"DEU","HOUSECOST","PRICEINCOME","IDX2015","A","2018",112.27947780353,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2000",84.7903825218239,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2001",87.5059956181753,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2002",92.5433788470848,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2003",99.2406693314327,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2004",105.91150642955,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2005",111.666427088469,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2006",115.090233324082,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2007",117.521636591327,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2008",118.533135730015,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2009",118.004396734426,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2010",118.419479251616,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2011",117.644653381071,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2012",118.86093478546,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2013",111.297533340845,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2014",105.571494713998,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2015",100,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2016",98.77796646004,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2017",95.8697453018714,
"ITA","HOUSECOST","PRICEINCOME","IDX2015","A","2018",93.3762661360355,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2000",132.177624510428,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2001",130.434382345799,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2002",124.211632717543,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2003",118.298803219338,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2004",110.662523118845,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2005",105.023361962013,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2006",101.912698838318,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2007",100.327907805197,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2008",101.606854521386,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2009",96.7215830166081,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2010",97.5189377491295,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2011",98.0193739556976,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2012",96.6832639328675,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2013",98.3421207908266,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2014",99.4463164376577,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2015",100,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2016",101.064717474433,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2017",102.575381013432,
"JPN","HOUSECOST","PRICEINCOME","IDX2015","A","2018",101.679676711742,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2000",110.64306162618,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2001",109.000311125133,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2002",118.916121562941,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2003",121.747923718694,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2004",114.37350199299,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2005",110.081227665869,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2006",112.59524016861,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2007",118.378382281303,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2008",120.439626286808,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2009",117.776384057473,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2010",113.955652822489,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2011",113.947612851716,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2012",111.377373634035,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2013",105.45711551426,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2014",103.449735149452,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2015",100,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2016",99.7012697086718,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2017",97.9651211988744,
"KOR","HOUSECOST","PRICEINCOME","IDX2015","A","2018",95.1901502422546,
"GBR","HOUSECOST","PRICEINCOME","IDX2015","A","2000",70.4165467984944,
"GBR","HOUSECOST","PRICEINCOME","IDX2015","A","2001",73.4753726509656,
"GBR","HOUSECOST","PRICEINCOME","IDX2015","A","2002",82.8789497448409,
"GBR","HOUSECOST","PRICEINCOME","IDX2015","A","2003",93.5391507248755,
"GBR","HOUSECOST","PRICEINCOME","IDX2015","A","2004",101.219916436264,
"GBR","HOUSECOST","PRICEINCOME","IDX2015","A","2005",104.560578601718,
"GBR","HOUSECOST","PRICEINCOME","IDX2015","A","2006",108.657872344874,
"GBR","HOUSECOST","PRICEINCOME","IDX2015","A","2007",114.735828595408,
"GBR","HOUSECOST","PRICEINCOME","IDX2015","A","2008",106.27484348368,
"GBR","HOUSECOST","PRICEINCOME","IDX2015","A","2009",94.7862613694995,
"GBR","HOUSECOST","PRICEINCOME","IDX2015","A","2010",99.9506177299262,
